X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
1	14	181	22	96	6	38	2	33	23	85	48	53	32	85	2	4	26	7	51	0	4	2	0	0	2	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	110	594	0	0	0	37
29	0	47	0	0	6	7	5	1	0	0	56	21	1	26	49	18	0	67	23	13	53	14	16	88	116	51	30	12	63
3	2	2	2	4	1	3	0	8	6	7	3	6	4	7	5	4	8	5	4	0	9	3	6	628	8	12	2	0	52
19	21	16	3	34	32	19	8	20	22	0	0	0	0	0	0	0	0	0	0	7	22	9	5	236	161	123	16	7	1
30	11	21	14	33	27	17	9	17	35	21	24	18	19	28	36	7	7	39	30	29	62	9	25	23	89	35	16	19	24
27	38	36	17	16	7	4	12	29	12	49	8	10	18	6	13	9	18	58	85	0	66	1	44	46	142	0	0	0	0
18	15	0	8	62	1	0	1	25	1	420	0	91	10	6	0	14	83	0	5	0	0	0	0	0	0	0	0	0	0
14	4	2	0	3	16	2	2	10	18	38	48	11	7	17	26	4	25	11	11	5	16	10	4	205	42	97	17	23	48
1	1	0	27	0	1	0	0	11	42	0	75	0	0	0	8	2	0	369	186	2	0	1	0	1	0	0	1	0	0
40	12	59	8	95	58	27	36	32	23	65	16	19	23	47	23	15	29	16	13	0	16	1	15	10	6	5	9	4	5
28	23	36	13	53	6	1	5	39	6	133	36	14	12	4	35	26	21	38	27	0	57	8	6	9	68	4	12	2	0
10	8	25	15	25	23	27	5	5	14	48	32	50	19	73	24	7	27	41	21	4	10	2	5	59	54	47	8	0	13
14	15	22	43	46	40	23	9	45	16	17	29	26	13	38	60	38	20	76	32	2	7	3	10	6	16	11	2	4	17
3	6	0	5	3	4	1	3	10	23	0	0	0	0	0	0	0	0	0	0	21	56	6	35	88	194	98	30	28	39
15	37	0	10	51	12	18	29	24	65	5	35	44	1	1	9	0	56	22	27	4	0	13	15	100	14	8	12	17	2
7	7	26	34	61	40	11	12	21	8	53	13	6	26	25	23	15	41	37	37	0	22	3	3	45	18	22	7	7	15
5	10	4	55	46	53	34	11	8	27	80	1	46	19	96	5	6	97	3	3	0	5	0	5	4	3	6	2	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	67	11	34	177	171	69	22	15	53
14	4	15	10	6	5	11	1	5	5	16	31	2	1	20	17	5	10	8	2	10	32	7	40	171	65	58	13	22	22
3	4	6	0	40	0	52	1	1	84	101	61	0	27	94	16	0	1	0	0	0	0	0	0	24	50	1	0	0	0
17	15	10	23	65	17	5	2	47	26	11	8	14	12	13	13	20	12	44	79	4	14	7	9	13	14	9	9	4	22
9	4	4	2	112	2	3	0	4	12	16	26	9	17	21	8	0	26	4	18	7	23	3	7	143	39	8	26	0	1
8	5	18	6	46	44	12	2	42	12	9	17	9	7	38	40	25	17	57	29	1	8	2	5	27	26	6	3	0	26
23	16	26	23	38	24	19	12	15	24	29	48	11	28	5	60	14	18	33	11	1	11	4	2	9	15	11	3	2	5
15	4	26	44	24	5	5	11	23	31	23	6	36	19	18	12	3	23	10	47	7	22	12	22	33	15	13	5	7	19
4	12	13	11	46	14	10	5	23	35	31	24	31	25	39	57	22	25	25	21	4	3	7	5	14	7	5	1	1	5
5	4	18	0	90	25	9	3	40	27	60	9	10	9	33	7	6	25	13	95	0	5	3	6	6	7	1	3	0	3
8	0	1	173	17	23	0	14	0	1	47	1	52	26	34	0	36	40	15	2	0	2	2	0	2	18	3	2	0	1
14	7	53	42	44	89	0	5	49	13	15	6	8	7	15	1	9	13	23	31	1	5	3	5	1	7	0	2	0	1
35	4	37	21	31	66	14	15	12	9	52	9	17	7	30	0	18	9	23	35	2	1	0	2	0	5	1	0	1	3
0	3	0	0	8	0	0	2	1	11	17	5	0	9	0	0	4	1	9	1	15	115	47	0	115	66	26	0	1	0
26	16	4	24	121	7	15	23	10	29	26	7	17	8	46	9	12	18	5	4	0	5	3	3	5	1	2	0	0	0
6	23	0	10	33	6	13	20	14	63	3	22	18	1	2	2	0	24	17	16	1	0	11	10	92	7	3	7	7	0
9	0	40	34	14	6	0	0	28	20	11	3	17	3	53	27	27	26	11	15	1	9	8	3	15	14	14	1	1	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	22	24	27	105	112	20	24	18	45
2	12	3	3	7	5	6	6	62	22	15	13	14	2	15	9	4	4	20	15	6	7	4	4	35	44	33	7	5	24
0	3	0	0	3	0	0	4	0	16	17	3	0	5	0	0	6	0	3	0	8	95	49	0	93	63	30	0	1	0
42	0	0	46	7	4	26	3	49	5	189	0	1	0	3	0	1	0	0	0	0	1	0	0	4	0	0	0	1	0
5	5	9	10	11	6	7	4	13	20	26	12	10	5	29	15	6	13	17	27	1	4	0	3	35	26	22	4	1	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	35	15	63	62	52	25	20	28	49
3	4	3	4	19	5	2	2	29	7	38	1	34	4	21	37	8	23	44	13	0	2	2	6	5	6	6	0	2	17
0	0	14	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7	25	13	17	117	12	59	16	8	55
34	9	1	25	14	0	20	28	0	38	14	0	5	7	0	57	1	39	13	6	0	10	0	9	0	10	0	3	2	0
14	4	10	7	27	38	15	1	28	10	33	2	11	19	30	0	9	37	3	13	1	6	1	1	9	10	0	0	1	1
19	0	13	11	0	67	42	16	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	11	57	25	30	4	8	22
0	12	3	10	71	13	15	8	51	0	63	9	1	10	2	0	0	0	0	2	2	6	0	10	0	19	3	7	1	0
5	9	20	30	67	8	11	10	9	13	18	10	15	12	17	4	9	13	3	8	1	4	0	1	4	7	3	0	0	1
81	0	15	0	0	0	0	0	0	0	4	23	0	0	6	23	15	0	70	9	3	0	0	17	0	41	0	0	1	0
0	15	22	7	26	15	0	0	43	13	0	14	8	5	24	16	16	0	32	41	0	6	0	0	0	0	0	0	0	0
5	5	8	4	20	7	5	3	7	10	5	7	7	4	26	17	20	4	41	17	3	8	7	5	12	12	2	4	1	6
5	3	21	0	5	9	6	18	6	3	0	0	0	0	0	0	0	0	0	0	1	23	11	13	51	56	15	9	4	22
