X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.final	X215.0646.final	X215.0B2B.final	X215.0B59.final	X215.340E.final	X215.406C.final	X215.471D.final	X215.591C.final	X215.6E50.final	X215.7262.final
6	0	6	5	0	0	6	0	0	18	6	0	9	3	24	4	0	4	0	0	0	5	0	0	0	0	0	0	0	0
5	1	7	2	0	41	2	6	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	7	7	2	0	2	3	0	2	8	7	8	11	6	0	8	9	0	2	1	1	1	1	0	0	0	0
3	4	4	2	3	4	3	3	5	2	4	1	5	3	4	3	2	2	3	2	1	3	3	3	1	5	1	1	1	5
3	1	3	3	0	10	0	5	1	2	17	0	2	0	6	6	1	1	2	21	0	0	0	0	0	0	0	0	0	0
1	4	1	3	5	3	1	1	1	17	9	1	3	7	3	0	2	11	2	4	1	1	0	0	0	0	0	0	0	0
5	0	0	1	7	0	2	0	6	10	6	2	0	1	3	18	2	2	2	6	0	1	1	2	1	0	0	0	0	0
1	2	3	5	2	3	3	2	4	2	3	4	4	7	1	1	3	4	1	2	1	2	1	3	2	1	3	4	1	2
4	1	3	10	13	1	2	1	2	6	4	1	2	0	7	1	1	3	3	5	0	1	0	0	1	1	0	0	0	1
0	1	7	6	5	2	3	0	6	3	4	5	1	1	3	3	5	0	2	4	0	6	0	1	0	1	0	1	0	2
3	1	3	2	4	1	5	0	4	6	7	2	1	1	3	3	3	4	1	4	1	3	0	3	2	3	0	1	1	0
8	0	1	1	1	2	1	0	4	1	2	1	1	3	3	9	3	2	1	0	1	6	0	4	6	0	1	3	2	0
0	0	0	0	2	0	0	0	25	1	0	0	0	0	0	0	10	0	0	0	0	5	14	0	0	0	0	0	0	0
0	2	4	1	0	1	0	1	3	0	6	3	5	3	3	2	3	2	4	0	0	2	2	1	1	3	1	1	2	0
0	1	1	0	2	4	1	0	1	2	0	0	2	0	11	2	7	1	3	6	1	5	1	0	1	1	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	4	7	11	2	7	2	1	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	13	0	0	0
0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	3	1	23	14	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	1	0	3	0	36	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	12	11	3	0	0	0	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	23	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	4	0	5	2	1	0	0	3	0	7	1	6	5	0	0	0	2	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	4	2	4	2	1	3	4
1	0	12	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	4	4	7	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	1	0	10	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	6	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	1	3	0	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	4	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0
