X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X216.0023.t.2	X216.167D.t.2	X216.2D17.t.2	X216.4D34.t.2	X216.5D52.t.2	X216.671C.t.2	X216.6807.t.2	X216.737F.t.2	X216.7C29.t.2	X216.7D1C.t.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	10	10	12	8	0	15	4	9
4	1	4	8	16	1	2	1	2	4	4	1	2	2	8	1	2	2	3	9	0	0	0	0	0	0	0	0	0	1
1	4	1	3	5	5	1	1	0	12	8	0	2	5	4	0	3	11	2	6	0	0	0	0	0	0	2	0	0	2
0	0	0	11	0	0	0	0	10	33	0	1	3	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	2	12	5	10	10	5	11
2	3	2	4	1	9	1	3	0	2	4	1	3	3	1	2	3	0	1	0	2	2	1	0	3	3	3	2	0	2
0	3	4	4	2	2	3	2	3	2	3	3	2	6	0	1	3	3	2	2	2	2	0	2	1	1	2	0	2	1
8	0	1	0	1	2	1	0	6	1	1	0	0	1	3	8	0	2	1	0	0	5	0	1	2	4	5	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	9	5	8	3	13	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	3	3	1	7	10	3	6	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	6	4	20	0	0
0	1	1	0	2	4	1	0	1	2	0	0	2	0	13	2	9	1	2	6	0	0	0	0	2	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	2	3	6	4	0	2	5	9
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	26	14	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	6	9	12	0	3
0	0	0	1	1	0	0	0	2	0	0	0	0	0	2	0	3	0	15	1	0	1	0	0	0	0	5	9	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	9	2	11	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	16	0	0	0	0
1	0	12	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	3	10	6	0	0	0
