X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq59	82	0	4	171	820	43	100	26	235	270	0	0	0	0	0	0	0	0	0	0	50	120	73	58	176	85	32	56	150	92
seq210	0	0	0	0	0	0	0	0	0	0	49	29	7	31	11	1	0	16	5	17	0	0	0	0	0	0	0	0	0	0
seq193	0	1	3	6	4	2	2	0	2	3	7	4	0	2	5	4	3	0	1	5	0	15	11	6	35	11	4	5	9	5
seq219	0	2	8	0	1	2	2	0	3	0	4	3	1	2	1	6	5	0	2	3	0	9	4	3	7	8	0	4	3	3
seq131	81	0	17	0	0	1	0	0	0	0	2	13	0	0	6	22	12	0	74	10	0	68	1	0	0	0	29	0	0	66
seq196	3	1	11	1	21	3	2	1	8	5	1	2	3	2	3	7	1	5	2	16	5	12	1	0	8	11	1	8	3	1
seq88	15	12	32	17	27	34	29	7	26	23	61	31	72	21	70	47	12	36	49	61	38	56	43	7	36	45	59	27	11	23
seq180	6	9	9	4	18	33	7	12	7	10	30	2	6	4	19	14	9	17	0	2	2	14	7	20	17	17	1	2	3	2
seq98	26	18	31	17	85	86	44	13	70	42	132	4	42	30	100	0	29	94	12	49	8	1	16	12	120	105	0	0	35	0
seq153	14	3	10	11	29	35	15	3	23	11	31	2	12	17	30	0	12	32	4	13	1	0	2	2	43	36	1	0	16	0
seq25	129	36	28	88	54	93	12	13	1358	205	1750	105	23	14	48	211	27	416	229	489	95	198	45	63	15	92	17	69	0	44
seq122	3	2	3	1	6	2	2	0	8	6	10	5	5	2	6	6	4	8	6	4	5	14	9	1	11	3	10	3	4	13
seq152	0	13	20	8	27	15	0	0	35	14	0	19	14	11	24	20	22	0	39	40	14	77	17	19	22	8	27	18	10	28
seq55	31	10	52	15	44	58	64	22	33	54	119	70	126	51	177	75	13	57	93	63	72	79	69	11	54	79	79	29	24	37
seq104	10	7	17	14	25	28	20	5	6	15	54	26	44	23	74	27	8	25	36	22	28	32	19	0	22	27	46	13	10	22
seq121	3	2	24	4	7	6	9	2	2	3	8	18	5	5	17	21	9	7	14	8	0	4	0	1	7	0	4	2	4	3
seq136	43	0	0	0	0	7	1	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq27	42	93	87	137	81	135	47	133	272	299	307	284	82	94	266	92	48	145	312	336	178	231	175	171	111	23	214	57	20	87
seq71	22	20	34	56	44	56	22	51	111	94	118	122	31	42	87	29	17	60	103	104	74	100	77	56	43	9	78	20	8	24
seq140	3	3	5	3	17	6	2	2	27	8	36	3	31	5	21	37	10	24	46	11	52	15	58	120	64	30	16	16	7	71
seq253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	22	6	4	0	0	20	3	7	4
