X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
seq82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	250	330	116	146	218	197	39	6	175
seq274	6	1	3	2	1	11	0	3	0	4	17	0	1	0	7	4	0	1	2	17	0	0	0	0	0	0	0	0	0	0
seq95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	16	22	7	12	5	3	0	15
seq235	3	2	3	11	10	1	2	0	2	5	3	0	2	0	8	1	0	3	4	6	0	0	0	1	1	0	0	0	0	0
seq1	43868	43215	39544	45155	24143	29227	42448	47718	24397	31157	20209	42921	43158	45132	27426	43470	48712	33007	27254	16130	35019	44913	31765	51101	28036	37576	19022	23626	19605	49857
seq213	5	4	4	2	5	8	1	3	6	4	6	4	7	2	5	3	2	6	1	4	0	1	4	5	4	8	6	5	1	4
seq202	3	0	5	2	0	3	2	1	3	1	5	1	5	3	3	2	3	2	3	2	1	5	2	3	4	5	2	1	1	1
seq189	2	3	5	3	1	3	4	3	3	2	3	5	3	5	0	1	4	4	2	2	2	4	1	6	2	4	0	2	2	1
seq197	3	1	2	4	3	9	2	3	1	1	2	2	3	3	1	2	1	0	1	0	2	4	1	1	3	1	1	1	3	4
seq169	5	3	3	5	6	1	4	7	5	6	4	3	4	6	4	5	2	7	5	4	5	8	3	6	7	3	7	3	6	5
seq115	9	8	25	34	69	36	12	10	35	12	66	15	10	17	30	21	20	42	37	31	0	17	2	0	48	17	21	9	7	7
seq50	39	43	146	42	288	117	41	128	222	267	130	64	80	83	45	41	37	132	39	219	2	68	9	9	31	173	30	8	3	10
seq65	27	40	32	17	14	8	3	16	30	12	54	16	16	13	3	14	7	17	50	98	0	64	2	42	45	143	0	0	0	33
seq75	0	0	0	23	1	0	0	0	46	129	0	5	9	1	1	0	4	4	20	93	2	0	53	1	677	12	218	3	0	15
seq183	1	0	1	1	2	8	4	0	3	1	0	5	4	5	8	10	7	0	12	6	0	1	1	0	0	0	2	1	0	0
seq111	6	9	15	7	50	41	7	1	56	16	9	15	12	10	39	36	23	14	45	34	1	9	3	6	24	27	5	5	1	30
seq208	2	5	14	7	26	27	10	4	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq5	325	446	375	224	533	662	190	118	3753	252	1081	1381	276	379	2261	890	497	31	4291	2105	1	821	59	419	1435	861	1231	291	42	339
seq31	1	736	0	186	925	0	0	350	0	489	0	0	0	0	1	0	0	998	0	0	0	0	0	0	0	0	0	1	0	0
seq81	82	12	50	23	102	97	13	24	52	45	25	30	11	27	34	36	38	18	100	107	35	50	35	91	72	78	49	35	39	70
seq127	4	9	10	4	17	33	5	9	5	12	26	4	7	3	18	17	5	14	1	4	0	2	3	0	1	0	2	0	0	0
seq222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	27	0	0	0	51	46	27	0
seq40	253	0	93	0	0	47	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	233	1979	1575	0	0	0	374
seq59	78	0	2	169	783	44	97	28	242	265	54	40	8	36	9	3	0	17	6	13	2	65	13	12	41	36	11	14	4	8
seq193	0	0	3	4	5	3	2	0	4	3	7	2	0	1	5	3	5	0	1	5	0	5	0	1	0	0	0	0	0	1
seq131	75	0	21	0	0	1	0	0	0	0	3	25	0	0	6	21	16	0	70	10	5	0	0	19	0	43	0	0	1	0
seq196	4	1	10	2	16	3	2	1	10	5	1	1	2	3	3	7	2	8	1	16	0	2	1	1	0	0	0	0	1	1
seq88	25	9	37	15	31	33	32	7	31	28	60	26	66	24	74	49	18	30	54	53	7	7	3	6	55	75	45	30	2	19
seq25	127	34	21	89	52	95	12	11	1346	205	1744	114	24	17	42	207	34	433	231	498	6	15	8	8	17	12	12	1	2	0
seq55	90	52	149	74	219	226	154	41	200	136	335	116	240	118	421	136	87	227	192	194	17	62	15	37	867	212	152	45	8	124
seq140	4	3	6	3	25	4	4	2	26	9	36	3	32	5	19	34	7	20	46	12	0	3	1	4	2	7	4	0	1	16
